id,observed_on_string,observed_on,latitude,longitude,scientific_name,common_name
60858815,Tue Sep 22 2020 16:05:58 GMT-0400 (EDT),9/22/2020,33.04917854,-83.92885584,Trichonephila clavata,Jorō Spider
98694821,Tue Oct 12 2021 16:31:17 GMT-0400 (EDT),10/12/2021,33.40161041,-84.73487095,Trichonephila clavata,Jorō Spider
98516580,2021/10/16 12:10 PM EDT,10/16/2021,33.57411767,-84.06711224,Trichonephila clavata,Jorō Spider
96463302,9/27/2021 14:59,9/27/2021,33.58826833,-83.73344176,Trichonephila clavata,Jorō Spider
99488155,Tue Oct 26 2021 15:21:49 GMT-0400 (EDT),10/26/2021,33.58901167,-84.06913883,Trichonephila clavata,Jorō Spider
87548933,7/18/2021 9:45,7/18/2021,33.60014797,-84.34741697,Trichonephila clavata,Jorō Spider
98117453,10/13/2021 11:33,10/13/2021,33.60105278,-84.34841111,Trichonephila clavata,Jorō Spider
95026495,Thu Sep 16 2021 08:48:59 GMT-0400 (EDT),9/16/2021,33.61563833,-83.86447833,Trichonephila clavata,Jorō Spider
95056548,Thu Sep 16 2021 13:44:44 GMT -0400 (EDT),9/16/2021,33.61639786,-83.86647034,Trichonephila clavata,Jorō Spider
95898799,Thu Sep 23 2021 16:38:47 GMT-0400 (EDT),9/23/2021,33.61909167,-83.87516167,Trichonephila clavata,Jorō Spider
95901016,Thu Sep 23 2021 16:38:39 GMT -0400 (EDT),9/23/2021,33.61923218,-83.87488556,Trichonephila clavata,Jorō Spider
96297282,Sun Sep 26 2021 18:38:18 GMT-0400 (EDT),9/26/2021,33.62150608,-83.87127077,Trichonephila clavata,Jorō Spider
98224213,Thu Oct 14 2021 15:59:05 GMT-0400 (EDT),10/14/2021,33.62924935,-83.88120256,Trichonephila clavata,Jorō Spider
98224864,Thu Oct 14 2021 16:02:31 GMT-0400 (EDT),10/14/2021,33.62936986,-83.88126451,Trichonephila clavata,Jorō Spider
97892910,10/8/2021 13:06,10/8/2021,33.63815797,-84.47834197,Trichonephila clavata,Jorō Spider
98456469,10/16/2021 14:45,10/16/2021,33.65210167,-83.59576229,Trichonephila clavata,Jorō Spider
